SIDO,GUGUN,DONG,ADD,latitude,longitude,,,,
강원,동해시,쇄운동,강원 동해시 쇄운동,37.4682438,129.0604022,,,,
강원,동해시,신흥동,강원 동해시 신흥동,37.51784,128.996874,,,,
강원,동해시,심곡동,강원 동해시 심곡동,37.5820409,129.0771032,,,,
강원,동해시,어달동,강원 동해시 어달동,37.565559,129.1130034,,,,
강원,동해시,용정동,강원 동해시 용정동,37.5068751,129.1206088,,,,
강원,동해시,이기동,강원 동해시 이기동,37.4850142,129.0128763,,,,
강원,동해시,이도동,강원 동해시 이도동,37.4791994,129.1069065,,,,
강원,동해시,이로동,강원 동해시 이로동,37.499351,129.0498465,,,,
강원,동해시,지가동,강원 동해시 지가동,37.4666568,129.104508,,,,
강원,동해시,지흥동,강원 동해시 지흥동,37.5072599,129.0900488,,,,
강원,동해시,천곡동,강원 동해시 천곡동,37.5228305,129.1160694,,,,
강원,동해시,초구동,강원 동해시 초구동,37.5698397,129.0917302,,,,
강원,동해시,추암동,강원 동해시 추암동,37.4738654,129.1511144,,,,
강원,동해시,평릉동,강원 동해시 평릉동,37.5320248,129.0923234,,,,
강원,동해시,호현동,강원 동해시 호현동,37.4643144,129.1235975,,,,
강원,동해시,효가동,강원 동해시 효가동,37.4975122,129.1102678,,,,
강원,삼척시,가곡면,강원 삼척시 가곡면,37.149742,129.2051706,,,,
강원,삼척시,갈천동,강원 삼척시 갈천동,37.4647357,129.1629071,,,,
강원,삼척시,건지동,강원 삼척시 건지동,37.429995,129.1496407,,,,
강원,삼척시,교동,강원 삼척시 교동,37.4479795,129.164595,,,,
강원,삼척시,근덕면,강원 삼척시 근덕면,37.3792207,129.2258038,,,,
강원,삼척시,근산동,강원 삼척시 근산동,37.4174183,129.1429595,,,,
강원,삼척시,남양동,강원 삼척시 남양동,37.4345718,129.1645431,,,,
강원,삼척시,노곡면,강원 삼척시 노곡면,37.3477406,129.1639953,,,,
강원,삼척시,당저동,강원 삼척시 당저동,37.4472696,129.1611561,,,,
강원,삼척시,도경동,강원 삼척시 도경동,37.4471965,129.1014789,,,,
강원,삼척시,도계읍,강원 삼척시 도계읍,37.2363961,129.0451533,,,,
강원,삼척시,등봉동,강원 삼척시 등봉동,37.4508037,129.1204847,,,,
강원,삼척시,마달동,강원 삼척시 마달동,37.451625,129.1554746,,,,
강원,삼척시,마평동,강원 삼척시 마평동,37.4301855,129.1332628,,,,
강원,삼척시,미로면,강원 삼척시 미로면,37.4175367,129.1124649,,,,
강원,삼척시,사직동,강원 삼척시 사직동,37.4247153,129.1713442,,,,
강원,삼척시,삼척우체국사서함,강원 삼척시 삼척우체국사서함,37.4437297,129.1642338,,,,
강원,삼척시,성남동,강원 삼척시 성남동,37.4335973,129.157638,,,,
강원,삼척시,성내동,강원 삼척시 성내동,37.4462017,129.1629562,,,,
강원,삼척시,성북동,강원 삼척시 성북동,37.443653,129.1568467,,,,
강원,삼척시,신기면,강원 삼척시 신기면,37.3495546,129.0830522,,,,
강원,삼척시,오분동,강원 삼척시 오분동,37.4268055,129.186663,,,,
강원,삼척시,오사동,강원 삼척시 오사동,37.4353891,129.1409742,,,,
강원,삼척시,우지동,강원 삼척시 우지동,37.4573667,129.1461233,,,,
강원,삼척시,원당동,강원 삼척시 원당동,37.4421965,129.1501157,,,,
강원,삼척시,원덕읍,강원 삼척시 원덕읍,37.2325164,129.3432037,,,,
강원,삼척시,읍상동,강원 삼척시 읍상동,37.4395152,129.1616373,,,,
강원,삼척시,읍중동,강원 삼척시 읍중동,37.4413229,129.1630289,,,,
강원,삼척시,자원동,강원 삼척시 자원동,37.4417148,129.1411509,,,,
강원,삼척시,적노동,강원 삼척시 적노동,37.4147184,129.1770184,,,,
강원,삼척시,정상동,강원 삼척시 정상동,37.4383502,129.1785472,,,,
강원,삼척시,정하동,강원 삼척시 정하동,37.4414759,129.1891972,,,,
강원,삼척시,조비동,강원 삼척시 조비동,37.4018307,129.1544068,,,,
강원,삼척시,증산동,강원 삼척시 증산동,37.4706014,129.1570881,,,,
강원,삼척시,평전동,강원 삼척시 평전동,37.44914,129.1324901,,,,
강원,삼척시,하장면,강원 삼척시 하장면,37.3495284,128.9430045,,,,
강원,속초시,교동,강원 속초시 교동,38.2022922,128.5827938,,,,
강원,속초시,금호동,강원 속초시 금호동,38.2068758,128.5881271,,,,
강원,속초시,노학동,강원 속초시 노학동,38.1920286,128.5239203,,,,
강원,속초시,대포동,강원 속초시 대포동,38.1656852,128.5569925,,,,
강원,속초시,도문동,강원 속초시 도문동,38.1681999,128.5723472,,,,
강원,속초시,동명동,강원 속초시 동명동,38.2125972,128.5957922,,,,
강원,속초시,설악동,강원 속초시 설악동,38.1681813,128.4769101,,,,
강원,속초시,속초우체국사서함,강원 속초시 속초우체국사서함,38.2062923,128.5923764,,,,
강원,속초시,영랑동,강원 속초시 영랑동,38.2239007,128.5879596,,,,
강원,속초시,장사동,강원 속초시 장사동,38.2120061,128.5506799,,,,
강원,속초시,조양동,강원 속초시 조양동,38.1845094,128.5846118,,,,
강원,속초시,중앙동,강원 속초시 중앙동,38.2054702,128.5912104,,,,
강원,속초시,청학동,강원 속초시 청학동,38.2024789,128.5850761,,,,
강원,속초시,청호동,강원 속초시 청호동,38.197932,128.5955707,,,,
강원,양구군,남면,강원 양구군 남면,38.1084951,128.0345682,,,,
강원,양구군,동면,강원 양구군 동면,38.2022212,128.0435524,,,,
강원,양구군,방산면,강원 양구군 방산면,38.2089397,127.9494887,,,,
강원,양구군,양구읍,강원 양구군 양구읍,38.107806,127.9905751,,,,
강원,양구군,해안면,강원 양구군 해안면,38.2851823,128.1372421,,,,
강원,양양군,강현면,강원 양양군 강현면,38.1499421,128.607527,,,,
강원,양양군,서면,강원 양양군 서면,38.0715807,128.5851325,,,,
강원,양양군,손양면,강원 양양군 손양면,38.0605678,128.6409511,,,,
강원,양양군,양양읍,강원 양양군 양양읍,38.0806344,128.6238915,,,,
강원,양양군,현남면,강원 양양군 현남면,37.969241,128.7594439,,,,
강원,양양군,현북면,강원 양양군 현북면,38.0190069,128.7230227,,,,
강원,영월군,김삿갓면,강원 영월군 김삿갓면,37.1256266,128.5700286,,,,
강원,영월군,남면,강원 영월군 남면,37.1865388,128.4044032,,,,
강원,영월군,북면,강원 영월군 북면,37.2544612,128.4551564,,,,
강원,영월군,상동읍,강원 영월군 상동읍,37.1271227,128.8269344,,,,
강원,영월군,수주면,강원 영월군 수주면,37.2880485,128.2684923,,,,
강원,영월군,영월읍,강원 영월군 영월읍,37.1874475,128.4660958,,,,
강원,영월군,주천면,강원 영월군 주천면,37.2720439,128.26883,,,,
강원,영월군,중동면,강원 영월군 중동면,37.1452652,128.6804805,,,,
강원,영월군,한반도면,강원 영월군 한반도면,37.2365882,128.3283133,,,,
강원,원주시,가현동,강원 원주시 가현동,37.3856133,127.9239413,,,,
